Wilayah Jawa Barat,Tahun,Tingkat Angkatan Kerja (%),Tingkat Pengangguran (%),Indeks Kesehatan,Indeks Pembangunan Manusia,Indeks Pendidikan,Indeks Pengeluaran,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Jumlah Penduduk Miskin,Value,Kategori
Bandung,2017,0.0,0.0,81.74,71.02,62.89,62.89,1.12,0.26,268.0,73.13,Usia Harapan Hidup
Bandung,2017,0.0,0.0,81.74,71.02,62.89,62.89,1.12,0.26,268.0,12.43,Harapan Lama Sekolah
Bandung,2017,0.0,0.0,81.74,71.02,62.89,62.89,1.12,0.26,268.0,8.51,Rata Rata Lama Sekolah
Bandung,2017,0.0,0.0,81.74,71.02,62.89,62.89,1.12,0.26,268.0,9854.0,Pengeluaran Per Kapita
Bandung,2018,61.79,5.07,81.94,71.75,63.71,63.71,0.87,0.2,246.1,73.26,Usia Harapan Hidup
Bandung,2018,61.79,5.07,81.94,71.75,63.71,63.71,0.87,0.2,246.1,12.64,Harapan Lama Sekolah
Bandung,2018,61.79,5.07,81.94,71.75,63.71,63.71,0.87,0.2,246.1,8.58,Rata Rata Lama Sekolah
Bandung,2018,61.79,5.07,81.94,71.75,63.71,63.71,0.87,0.2,246.1,10203.0,Pengeluaran Per Kapita
Bandung,2019,65.32,5.51,82.15,72.41,64.52,64.52,1.04,0.28,223.2,73.4,Usia Harapan Hidup
Bandung,2019,65.32,5.51,82.15,72.41,64.52,64.52,1.04,0.28,223.2,12.68,Harapan Lama Sekolah
Bandung,2019,65.32,5.51,82.15,72.41,64.52,64.52,1.04,0.28,223.2,8.79,Rata Rata Lama Sekolah
Bandung,2019,65.32,5.51,82.15,72.41,64.52,64.52,1.04,0.28,223.2,10502.0,Pengeluaran Per Kapita
Bandung,2020,62.2,8.58,82.35,72.39,65.12,65.12,0.92,0.17,263.6,73.53,Usia Harapan Hidup
Bandung,2020,62.2,8.58,82.35,72.39,65.12,65.12,0.92,0.17,263.6,12.69,Harapan Lama Sekolah
Bandung,2020,62.2,8.58,82.35,72.39,65.12,65.12,0.92,0.17,263.6,8.96,Rata Rata Lama Sekolah
Bandung,2020,62.2,8.58,82.35,72.39,65.12,65.12,0.92,0.17,263.6,10201.0,Pengeluaran Per Kapita
Bandung,2021,65.12,8.32,82.65,72.73,65.51,65.51,1.23,0.34,269.2,73.72,Usia Harapan Hidup
Bandung,2021,65.12,8.32,82.65,72.73,65.51,65.51,1.23,0.34,269.2,12.7,Harapan Lama Sekolah
Bandung,2021,65.12,8.32,82.65,72.73,65.51,65.51,1.23,0.34,269.2,9.07,Rata Rata Lama Sekolah
Bandung,2021,65.12,8.32,82.65,72.73,65.51,65.51,1.23,0.34,269.2,10307.0,Pengeluaran Per Kapita
Bandung,2022,63.64,6.98,83.09,73.16,65.57,65.57,0.9,0.21,258.6,74.01,Usia Harapan Hidup
Bandung,2022,63.64,6.98,83.09,73.16,65.57,65.57,0.9,0.21,258.6,12.71,Harapan Lama Sekolah
Bandung,2022,63.64,6.98,83.09,73.16,65.57,65.57,0.9,0.21,258.6,9.08,Rata Rata Lama Sekolah
Bandung,2022,63.64,6.98,83.09,73.16,65.57,65.57,0.9,0.21,258.6,10588.0,Pengeluaran Per Kapita
Bandung,2023,67.1,6.52,0.0,0.0,0.0,0.0,1.1,0.29,245.5,74.27,Usia Harapan Hidup
Bandung,2023,67.1,6.52,0.0,0.0,0.0,0.0,1.1,0.29,245.5,12.73,Harapan Lama Sekolah
Bandung,2023,67.1,6.52,0.0,0.0,0.0,0.0,1.1,0.29,245.5,9.1,Rata Rata Lama Sekolah
Bandung,2023,67.1,6.52,0.0,0.0,0.0,0.0,1.1,0.29,245.5,11018.0,Pengeluaran Per Kapita
Bandung Barat,2017,0.0,0.0,79.8,66.63,58.55,58.55,2.32,0.71,190.9,71.87,Usia Harapan Hidup
Bandung Barat,2017,0.0,0.0,79.8,66.63,58.55,58.55,2.32,0.71,190.9,11.79,Harapan Lama Sekolah
Bandung Barat,2017,0.0,0.0,79.8,66.63,58.55,58.55,2.32,0.71,190.9,7.74,Rata Rata Lama Sekolah
Bandung Barat,2017,0.0,0.0,79.8,66.63,58.55,58.55,2.32,0.71,190.9,8002.0,Pengeluaran Per Kapita
Bandung Barat,2018,61.26,8.55,80.05,67.46,59.43,59.43,1.45,0.35,169.0,72.03,Usia Harapan Hidup
Bandung Barat,2018,61.26,8.55,80.05,67.46,59.43,59.43,1.45,0.35,169.0,11.83,Harapan Lama Sekolah
Bandung Barat,2018,61.26,8.55,80.05,67.46,59.43,59.43,1.45,0.35,169.0,7.97,Rata Rata Lama Sekolah
Bandung Barat,2018,61.26,8.55,80.05,67.46,59.43,59.43,1.45,0.35,169.0,8329.0,Pengeluaran Per Kapita
Bandung Barat,2019,61.97,8.24,80.28,68.27,60.21,60.21,1.54,0.33,159.0,72.18,Usia Harapan Hidup
Bandung Barat,2019,61.97,8.24,80.28,68.27,60.21,60.21,1.54,0.33,159.0,11.86,Harapan Lama Sekolah
Bandung Barat,2019,61.97,8.24,80.28,68.27,60.21,60.21,1.54,0.33,159.0,8.18,Rata Rata Lama Sekolah
Bandung Barat,2019,61.97,8.24,80.28,68.27,60.21,60.21,1.54,0.33,159.0,8684.0,Pengeluaran Per Kapita
Bandung Barat,2020,59.91,12.25,80.52,68.08,60.27,60.27,1.4,0.25,179.5,72.34,Usia Harapan Hidup
Bandung Barat,2020,59.91,12.25,80.52,68.08,60.27,60.27,1.4,0.25,179.5,11.87,Harapan Lama Sekolah
Bandung Barat,2020,59.91,12.25,80.52,68.08,60.27,60.27,1.4,0.25,179.5,8.19,Rata Rata Lama Sekolah
Bandung Barat,2020,59.91,12.25,80.52,68.08,60.27,60.27,1.4,0.25,179.5,8455.0,Pengeluaran Per Kapita
Bandung Barat,2021,60.75,11.65,80.8,68.29,60.33,60.33,1.62,0.32,190.8,72.52,Usia Harapan Hidup
Bandung Barat,2021,60.75,11.65,80.8,68.29,60.33,60.33,1.62,0.32,190.8,11.88,Harapan Lama Sekolah
Bandung Barat,2021,60.75,11.65,80.8,68.29,60.33,60.33,1.62,0.32,190.8,8.2,Rata Rata Lama Sekolah
Bandung Barat,2021,60.75,11.65,80.8,68.29,60.33,60.33,1.62,0.32,190.8,8546.0,Pengeluaran Per Kapita
Bandung Barat,2022,64.37,9.63,81.22,69.04,60.43,60.43,1.7,0.41,183.7,72.79,Usia Harapan Hidup
Bandung Barat,2022,64.37,9.63,81.22,69.04,60.43,60.43,1.7,0.41,183.7,11.89,Harapan Lama Sekolah
Bandung Barat,2022,64.37,9.63,81.22,69.04,60.43,60.43,1.7,0.41,183.7,8.22,Rata Rata Lama Sekolah
Bandung Barat,2022,64.37,9.63,81.22,69.04,60.43,60.43,1.7,0.41,183.7,9044.0,Pengeluaran Per Kapita
Bandung Barat,2023,67.01,8.11,0.0,0.0,0.0,0.0,1.54,0.34,179.4,73.1,Usia Harapan Hidup
Bandung Barat,2023,67.01,8.11,0.0,0.0,0.0,0.0,1.54,0.34,179.4,11.91,Harapan Lama Sekolah
Bandung Barat,2023,67.01,8.11,0.0,0.0,0.0,0.0,1.54,0.34,179.4,8.23,Rata Rata Lama Sekolah
Bandung Barat,2023,67.01,8.11,0.0,0.0,0.0,0.0,1.54,0.34,179.4,9392.0,Pengeluaran Per Kapita
Bekasi,2017,0.0,0.0,82.0,72.63,64.48,64.48,0.81,0.22,164.0,73.3,Usia Harapan Hidup
Bekasi,2017,0.0,0.0,82.0,72.63,64.48,64.48,0.81,0.22,164.0,12.63,Harapan Lama Sekolah
Bekasi,2017,0.0,0.0,82.0,72.63,64.48,64.48,0.81,0.22,164.0,8.82,Rata Rata Lama Sekolah
Bekasi,2017,0.0,0.0,82.0,72.63,64.48,64.48,0.81,0.22,164.0,10790.0,Pengeluaran Per Kapita
Bekasi,2018,61.43,9.74,82.2,73.49,65.72,65.72,0.65,0.15,157.2,73.43,Usia Harapan Hidup
Bekasi,2018,61.43,9.74,82.2,73.49,65.72,65.72,0.65,0.15,157.2,13.05,Harapan Lama Sekolah
Bekasi,2018,61.43,9.74,82.2,73.49,65.72,65.72,0.65,0.15,157.2,8.84,Rata Rata Lama Sekolah
Bekasi,2018,61.43,9.74,82.2,73.49,65.72,65.72,0.65,0.15,157.2,11155.0,Pengeluaran Per Kapita
Bekasi,2019,64.02,9.0,82.4,73.99,65.8,65.8,0.6,0.15,149.4,73.56,Usia Harapan Hidup
Bekasi,2019,64.02,9.0,82.4,73.99,65.8,65.8,0.6,0.15,149.4,13.08,Harapan Lama Sekolah
Bekasi,2019,64.02,9.0,82.4,73.99,65.8,65.8,0.6,0.15,149.4,8.84,Rata Rata Lama Sekolah
Bekasi,2019,64.02,9.0,82.4,73.99,65.8,65.8,0.6,0.15,149.4,11610.0,Pengeluaran Per Kapita
Bekasi,2020,64.23,11.54,82.58,74.07,66.76,66.76,0.72,0.18,186.3,73.68,Usia Harapan Hidup
Bekasi,2020,64.23,11.54,82.58,74.07,66.76,66.76,0.72,0.18,186.3,13.09,Harapan Lama Sekolah
Bekasi,2020,64.23,11.54,82.58,74.07,66.76,66.76,0.72,0.18,186.3,9.12,Rata Rata Lama Sekolah
Bekasi,2020,64.23,11.54,82.58,74.07,66.76,66.76,0.72,0.18,186.3,11241.0,Pengeluaran Per Kapita
Bekasi,2021,65.87,10.09,82.78,74.45,67.39,67.39,0.91,0.26,202.7,73.81,Usia Harapan Hidup
Bekasi,2021,65.87,10.09,82.78,74.45,67.39,67.39,0.91,0.26,202.7,13.1,Harapan Lama Sekolah
Bekasi,2021,65.87,10.09,82.78,74.45,67.39,67.39,0.91,0.26,202.7,9.3,Rata Rata Lama Sekolah
Bekasi,2021,65.87,10.09,82.78,74.45,67.39,67.39,0.91,0.26,202.7,11341.0,Pengeluaran Per Kapita
Bekasi,2022,65.41,10.31,83.14,75.22,68.18,68.18,0.74,0.18,201.1,74.04,Usia Harapan Hidup
Bekasi,2022,65.41,10.31,83.14,75.22,68.18,68.18,0.74,0.18,201.1,13.11,Harapan Lama Sekolah
Bekasi,2022,65.41,10.31,83.14,75.22,68.18,68.18,0.74,0.18,201.1,9.53,Rata Rata Lama Sekolah
Bekasi,2022,65.41,10.31,83.14,75.22,68.18,68.18,0.74,0.18,201.1,11757.0,Pengeluaran Per Kapita
Bekasi,2023,65.0,8.87,0.0,0.0,0.0,0.0,0.82,0.2,204.1,74.3,Usia Harapan Hidup
Bekasi,2023,65.0,8.87,0.0,0.0,0.0,0.0,0.82,0.2,204.1,13.17,Harapan Lama Sekolah
Bekasi,2023,65.0,8.87,0.0,0.0,0.0,0.0,0.82,0.2,204.1,9.57,Rata Rata Lama Sekolah
Bekasi,2023,65.0,8.87,0.0,0.0,0.0,0.0,0.82,0.2,204.1,12123.0,Pengeluaran Per Kapita
Bogor,2017,0.0,0.0,78.0,69.13,60.66,60.66,1.35,0.35,487.3,70.7,Usia Harapan Hidup
Bogor,2017,0.0,0.0,78.0,69.13,60.66,60.66,1.35,0.35,487.3,12.43,Harapan Lama Sekolah
Bogor,2017,0.0,0.0,78.0,69.13,60.66,60.66,1.35,0.35,487.3,7.84,Rata Rata Lama Sekolah
Bogor,2017,0.0,0.0,78.0,69.13,60.66,60.66,1.35,0.35,487.3,9901.0,Pengeluaran Per Kapita
Bogor,2018,62.75,9.83,78.25,69.69,60.82,60.82,1.12,0.26,415.0,70.86,Usia Harapan Hidup
Bogor,2018,62.75,9.83,78.25,69.69,60.82,60.82,1.12,0.26,415.0,12.44,Harapan Lama Sekolah
Bogor,2018,62.75,9.83,78.25,69.69,60.82,60.82,1.12,0.26,415.0,7.88,Rata Rata Lama Sekolah
Bogor,2018,62.75,9.83,78.25,69.69,60.82,60.82,1.12,0.26,415.0,10323.0,Pengeluaran Per Kapita
Bogor,2019,65.41,9.11,78.48,70.65,62.27,62.27,0.83,0.15,395.0,71.01,Usia Harapan Hidup
Bogor,2019,65.41,9.11,78.48,70.65,62.27,62.27,0.83,0.15,395.0,12.47,Harapan Lama Sekolah
Bogor,2019,65.41,9.11,78.48,70.65,62.27,62.27,0.83,0.15,395.0,8.29,Rata Rata Lama Sekolah
Bogor,2019,65.41,9.11,78.48,70.65,62.27,62.27,0.83,0.15,395.0,10683.0,Pengeluaran Per Kapita
Bogor,2020,62.65,14.29,78.72,70.4,62.33,62.33,0.83,0.11,465.7,71.17,Usia Harapan Hidup
Bogor,2020,62.65,14.29,78.72,70.4,62.33,62.33,0.83,0.11,465.7,12.48,Harapan Lama Sekolah
Bogor,2020,62.65,14.29,78.72,70.4,62.33,62.33,0.83,0.11,465.7,8.3,Rata Rata Lama Sekolah
Bogor,2020,62.65,14.29,78.72,70.4,62.33,62.33,0.83,0.11,465.7,10317.0,Pengeluaran Per Kapita
Bogor,2021,62.55,12.22,79.02,70.6,62.39,62.39,1.36,0.35,491.2,71.36,Usia Harapan Hidup
Bogor,2021,62.55,12.22,79.02,70.6,62.39,62.39,1.36,0.35,491.2,12.49,Harapan Lama Sekolah
Bogor,2021,62.55,12.22,79.02,70.6,62.39,62.39,1.36,0.35,491.2,8.31,Rata Rata Lama Sekolah
Bogor,2021,62.55,12.22,79.02,70.6,62.39,62.39,1.36,0.35,491.2,10410.0,Pengeluaran Per Kapita
Bogor,2022,63.75,10.64,79.46,71.2,62.52,62.52,1.49,0.45,474.7,71.65,Usia Harapan Hidup
Bogor,2022,63.75,10.64,79.46,71.2,62.52,62.52,1.49,0.45,474.7,12.5,Harapan Lama Sekolah
Bogor,2022,63.75,10.64,79.46,71.2,62.52,62.52,1.49,0.45,474.7,8.34,Rata Rata Lama Sekolah
Bogor,2022,63.75,10.64,79.46,71.2,62.52,62.52,1.49,0.45,474.7,10860.0,Pengeluaran Per Kapita
Bogor,2023,64.22,8.47,0.0,0.0,0.0,0.0,0.97,0.21,453.8,71.92,Usia Harapan Hidup
Bogor,2023,64.22,8.47,0.0,0.0,0.0,0.0,0.97,0.21,453.8,12.64,Harapan Lama Sekolah
Bogor,2023,64.22,8.47,0.0,0.0,0.0,0.0,0.97,0.21,453.8,8.37,Rata Rata Lama Sekolah
Bogor,2023,64.22,8.47,0.0,0.0,0.0,0.0,0.97,0.21,453.8,11153.0,Pengeluaran Per Kapita
Ciamis,2017,0.0,0.0,78.57,68.87,63.24,63.24,1.22,0.27,96.8,71.07,Usia Harapan Hidup
Ciamis,2017,0.0,0.0,78.57,68.87,63.24,63.24,1.22,0.27,96.8,13.66,Harapan Lama Sekolah
Ciamis,2017,0.0,0.0,78.57,68.87,63.24,63.24,1.22,0.27,96.8,7.59,Rata Rata Lama Sekolah
Ciamis,2017,0.0,0.0,78.57,68.87,63.24,63.24,1.22,0.27,96.8,8658.0,Pengeluaran Per Kapita
Ciamis,2018,66.67,4.64,78.95,69.63,63.31,63.31,1.18,0.26,85.7,71.32,Usia Harapan Hidup
Ciamis,2018,66.67,4.64,78.95,69.63,63.31,63.31,1.18,0.26,85.7,13.67,Harapan Lama Sekolah
Ciamis,2018,66.67,4.64,78.95,69.63,63.31,63.31,1.18,0.26,85.7,7.6,Rata Rata Lama Sekolah
Ciamis,2018,66.67,4.64,78.95,69.63,63.31,63.31,1.18,0.26,85.7,9190.0,Pengeluaran Per Kapita
Ciamis,2019,67.39,5.16,79.34,70.39,63.94,63.94,0.76,0.14,79.4,71.57,Usia Harapan Hidup
Ciamis,2019,67.39,5.16,79.34,70.39,63.94,63.94,0.76,0.14,79.4,13.79,Harapan Lama Sekolah
Ciamis,2019,67.39,5.16,79.34,70.39,63.94,63.94,0.76,0.14,79.4,7.69,Rata Rata Lama Sekolah
Ciamis,2019,67.39,5.16,79.34,70.39,63.94,63.94,0.76,0.14,79.4,9557.0,Pengeluaran Per Kapita
Ciamis,2020,71.41,5.66,79.74,70.49,64.72,64.72,0.92,0.16,91.4,71.83,Usia Harapan Hidup
Ciamis,2020,71.41,5.66,79.74,70.49,64.72,64.72,0.92,0.16,91.4,14.06,Harapan Lama Sekolah
Ciamis,2020,71.41,5.66,79.74,70.49,64.72,64.72,0.92,0.16,91.4,7.7,Rata Rata Lama Sekolah
Ciamis,2020,71.41,5.66,79.74,70.49,64.72,64.72,0.92,0.16,91.4,9288.0,Pengeluaran Per Kapita
Ciamis,2021,69.83,5.06,80.03,70.93,65.78,65.78,0.88,0.15,96.6,72.02,Usia Harapan Hidup
Ciamis,2021,69.83,5.06,80.03,70.93,65.78,65.78,0.88,0.15,96.6,14.2,Harapan Lama Sekolah
Ciamis,2021,69.83,5.06,80.03,70.93,65.78,65.78,0.88,0.15,96.6,7.9,Rata Rata Lama Sekolah
Ciamis,2021,69.83,5.06,80.03,70.93,65.78,65.78,0.88,0.15,96.6,9259.0,Pengeluaran Per Kapita
Ciamis,2022,68.47,3.75,80.46,71.45,66.33,66.33,1.07,0.24,94.0,72.3,Usia Harapan Hidup
Ciamis,2022,68.47,3.75,80.46,71.45,66.33,66.33,1.07,0.24,94.0,14.28,Harapan Lama Sekolah
Ciamis,2022,68.47,3.75,80.46,71.45,66.33,66.33,1.07,0.24,94.0,8.0,Rata Rata Lama Sekolah
Ciamis,2022,68.47,3.75,80.46,71.45,66.33,66.33,1.07,0.24,94.0,9428.0,Pengeluaran Per Kapita
Ciamis,2023,66.26,3.52,0.0,0.0,0.0,0.0,0.9,0.17,90.8,72.57,Usia Harapan Hidup
Ciamis,2023,66.26,3.52,0.0,0.0,0.0,0.0,0.9,0.17,90.8,14.29,Harapan Lama Sekolah
Ciamis,2023,66.26,3.52,0.0,0.0,0.0,0.0,0.9,0.17,90.8,8.09,Rata Rata Lama Sekolah
Ciamis,2023,66.26,3.52,0.0,0.0,0.0,0.0,0.9,0.17,90.8,9750.0,Pengeluaran Per Kapita
Cianjur,2017,0.0,0.0,76.14,63.7,56.09,56.09,1.5,0.32,257.4,69.49,Usia Harapan Hidup
Cianjur,2017,0.0,0.0,76.14,63.7,56.09,56.09,1.5,0.32,257.4,11.89,Harapan Lama Sekolah
Cianjur,2017,0.0,0.0,76.14,63.7,56.09,56.09,1.5,0.32,257.4,6.92,Rata Rata Lama Sekolah
Cianjur,2017,0.0,0.0,76.14,63.7,56.09,56.09,1.5,0.32,257.4,7300.0,Pengeluaran Per Kapita
Cianjur,2018,60.22,10.23,76.46,64.62,56.16,56.16,1.34,0.27,221.6,69.7,Usia Harapan Hidup
Cianjur,2018,60.22,10.23,76.46,64.62,56.16,56.16,1.34,0.27,221.6,11.9,Harapan Lama Sekolah
Cianjur,2018,60.22,10.23,76.46,64.62,56.16,56.16,1.34,0.27,221.6,6.93,Rata Rata Lama Sekolah
Cianjur,2018,60.22,10.23,76.46,64.62,56.16,56.16,1.34,0.27,221.6,7874.0,Pengeluaran Per Kapita
Cianjur,2019,66.0,9.81,76.78,65.38,56.51,56.51,0.74,0.11,207.1,69.91,Usia Harapan Hidup
Cianjur,2019,66.0,9.81,76.78,65.38,56.51,56.51,0.74,0.11,207.1,11.98,Harapan Lama Sekolah
Cianjur,2019,66.0,9.81,76.78,65.38,56.51,56.51,0.74,0.11,207.1,6.97,Rata Rata Lama Sekolah
Cianjur,2019,66.0,9.81,76.78,65.38,56.51,56.51,0.74,0.11,207.1,8290.0,Pengeluaran Per Kapita
Cianjur,2020,69.26,11.05,77.12,65.36,57.24,57.24,1.38,0.27,234.5,70.13,Usia Harapan Hidup
Cianjur,2020,69.26,11.05,77.12,65.36,57.24,57.24,1.38,0.27,234.5,11.99,Harapan Lama Sekolah
Cianjur,2020,69.26,11.05,77.12,65.36,57.24,57.24,1.38,0.27,234.5,7.18,Rata Rata Lama Sekolah
Cianjur,2020,69.26,11.05,77.12,65.36,57.24,57.24,1.38,0.27,234.5,7980.0,Pengeluaran Per Kapita
Cianjur,2021,67.98,9.32,77.42,65.56,57.3,57.3,1.83,0.46,260.0,70.32,Usia Harapan Hidup
Cianjur,2021,67.98,9.32,77.42,65.56,57.3,57.3,1.83,0.46,260.0,12.0,Harapan Lama Sekolah
Cianjur,2021,67.98,9.32,77.42,65.56,57.3,57.3,1.83,0.46,260.0,7.19,Rata Rata Lama Sekolah
Cianjur,2021,67.98,9.32,77.42,65.56,57.3,57.3,1.83,0.46,260.0,8052.0,Pengeluaran Per Kapita
Cianjur,2022,69.98,8.41,77.82,65.94,57.36,57.36,1.35,0.27,246.8,70.58,Usia Harapan Hidup
Cianjur,2022,69.98,8.41,77.82,65.94,57.36,57.36,1.35,0.27,246.8,12.01,Harapan Lama Sekolah
Cianjur,2022,69.98,8.41,77.82,65.94,57.36,57.36,1.35,0.27,246.8,7.2,Rata Rata Lama Sekolah
Cianjur,2022,69.98,8.41,77.82,65.94,57.36,57.36,1.35,0.27,246.8,8244.0,Pengeluaran Per Kapita
Cianjur,2023,72.31,7.71,0.0,0.0,0.0,0.0,1.29,0.26,240.1,70.79,Usia Harapan Hidup
Cianjur,2023,72.31,7.71,0.0,0.0,0.0,0.0,1.29,0.26,240.1,12.03,Harapan Lama Sekolah
Cianjur,2023,72.31,7.71,0.0,0.0,0.0,0.0,1.29,0.26,240.1,7.22,Rata Rata Lama Sekolah
Cianjur,2023,72.31,7.71,0.0,0.0,0.0,0.0,1.29,0.26,240.1,8626.0,Pengeluaran Per Kapita
Cirebon,2017,0.0,0.0,79.22,67.39,55.95,55.95,2.13,0.5,279.6,71.49,Usia Harapan Hidup
Cirebon,2017,0.0,0.0,79.22,67.39,55.95,55.95,2.13,0.5,279.6,12.21,Harapan Lama Sekolah
Cirebon,2017,0.0,0.0,79.22,67.39,55.95,55.95,2.13,0.5,279.6,6.61,Rata Rata Lama Sekolah
Cirebon,2017,0.0,0.0,79.22,67.39,55.95,55.95,2.13,0.5,279.6,9650.0,Pengeluaran Per Kapita
Cirebon,2018,61.75,10.64,79.48,68.05,56.01,56.01,2.04,0.55,232.4,71.66,Usia Harapan Hidup
Cirebon,2018,61.75,10.64,79.48,68.05,56.01,56.01,2.04,0.55,232.4,12.22,Harapan Lama Sekolah
Cirebon,2018,61.75,10.64,79.48,68.05,56.01,56.01,2.04,0.55,232.4,6.62,Rata Rata Lama Sekolah
Cirebon,2018,61.75,10.64,79.48,68.05,56.01,56.01,2.04,0.55,232.4,10212.0,Pengeluaran Per Kapita
Cirebon,2019,65.23,10.35,79.72,68.69,56.37,56.37,1.29,0.26,217.6,71.82,Usia Harapan Hidup
Cirebon,2019,65.23,10.35,79.72,68.69,56.37,56.37,1.29,0.26,217.6,12.24,Harapan Lama Sekolah
Cirebon,2019,65.23,10.35,79.72,68.69,56.37,56.37,1.29,0.26,217.6,6.71,Rata Rata Lama Sekolah
Cirebon,2019,65.23,10.35,79.72,68.69,56.37,56.37,1.29,0.26,217.6,10670.0,Pengeluaran Per Kapita
Cirebon,2020,63.79,11.52,79.98,68.75,57.09,57.09,1.3,0.24,247.9,71.99,Usia Harapan Hidup
Cirebon,2020,63.79,11.52,79.98,68.75,57.09,57.09,1.3,0.24,247.9,12.25,Harapan Lama Sekolah
Cirebon,2020,63.79,11.52,79.98,68.75,57.09,57.09,1.3,0.24,247.9,6.92,Rata Rata Lama Sekolah
Cirebon,2020,63.79,11.52,79.98,68.75,57.09,57.09,1.3,0.24,247.9,10342.0,Pengeluaran Per Kapita
Cirebon,2021,64.49,10.38,80.28,69.12,57.75,57.75,1.94,0.47,271.0,72.18,Usia Harapan Hidup
Cirebon,2021,64.49,10.38,80.28,69.12,57.75,57.75,1.94,0.47,271.0,12.27,Harapan Lama Sekolah
Cirebon,2021,64.49,10.38,80.28,69.12,57.75,57.75,1.94,0.47,271.0,7.1,Rata Rata Lama Sekolah
Cirebon,2021,64.49,10.38,80.28,69.12,57.75,57.75,1.94,0.47,271.0,10368.0,Pengeluaran Per Kapita
Cirebon,2022,65.53,8.11,80.72,70.06,58.78,58.78,2.27,0.59,266.1,72.47,Usia Harapan Hidup
Cirebon,2022,65.53,8.11,80.72,70.06,58.78,58.78,2.27,0.59,266.1,12.28,Harapan Lama Sekolah
