Wilayah Jawa Barat,Tahun,Tingkat Angkatan Kerja (%),Tingkat Pengangguran (%),Indeks Kesehatan,Indeks Pembangunan Manusia,Indeks Pendidikan,Indeks Pengeluaran,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Jumlah Penduduk Miskin,Value,Kategori
Cirebon,2022,65.53,8.11,80.72,70.06,58.78,58.78,2.27,0.59,266.1,7.4,Rata Rata Lama Sekolah
Cirebon,2022,65.53,8.11,80.72,70.06,58.78,58.78,2.27,0.59,266.1,10791.0,Pengeluaran Per Kapita
Cirebon,2023,66.16,7.65,0.0,0.0,0.0,0.0,1.98,0.53,249.2,72.76,Usia Harapan Hidup
Cirebon,2023,66.16,7.65,0.0,0.0,0.0,0.0,1.98,0.53,249.2,12.41,Harapan Lama Sekolah
Cirebon,2023,66.16,7.65,0.0,0.0,0.0,0.0,1.98,0.53,249.2,7.64,Rata Rata Lama Sekolah
Cirebon,2023,66.16,7.65,0.0,0.0,0.0,0.0,1.98,0.53,249.2,11128.0,Pengeluaran Per Kapita
Garut,2017,0.0,0.0,78.22,64.52,56.85,56.85,1.72,0.43,291.2,70.84,Usia Harapan Hidup
Garut,2017,0.0,0.0,78.22,64.52,56.85,56.85,1.72,0.43,291.2,11.73,Harapan Lama Sekolah
Garut,2017,0.0,0.0,78.22,64.52,56.85,56.85,1.72,0.43,291.2,7.28,Rata Rata Lama Sekolah
Garut,2017,0.0,0.0,78.22,64.52,56.85,56.85,1.72,0.43,291.2,7270.0,Pengeluaran Per Kapita
Garut,2018,60.06,7.12,78.51,65.42,57.78,57.78,1.49,0.37,241.3,71.03,Usia Harapan Hidup
Garut,2018,60.06,7.12,78.51,65.42,57.78,57.78,1.49,0.37,241.3,11.8,Harapan Lama Sekolah
Garut,2018,60.06,7.12,78.51,65.42,57.78,57.78,1.49,0.37,241.3,7.5,Rata Rata Lama Sekolah
Garut,2018,60.06,7.12,78.51,65.42,57.78,57.78,1.49,0.37,241.3,7597.0,Pengeluaran Per Kapita
Garut,2019,62.6,7.35,78.8,66.22,57.87,57.87,0.87,0.16,235.2,71.22,Usia Harapan Hidup
Garut,2019,62.6,7.35,78.8,66.22,57.87,57.87,0.87,0.16,235.2,11.82,Harapan Lama Sekolah
Garut,2019,62.6,7.35,78.8,66.22,57.87,57.87,0.87,0.16,235.2,7.51,Rata Rata Lama Sekolah
Garut,2019,62.6,7.35,78.8,66.22,57.87,57.87,0.87,0.16,235.2,8099.0,Pengeluaran Per Kapita
Garut,2020,61.11,8.96,79.09,66.12,58.15,58.15,0.97,0.15,262.8,71.41,Usia Harapan Hidup
Garut,2020,61.11,8.96,79.09,66.12,58.15,58.15,0.97,0.15,262.8,11.91,Harapan Lama Sekolah
Garut,2020,61.11,8.96,79.09,66.12,58.15,58.15,0.97,0.15,262.8,7.52,Rata Rata Lama Sekolah
Garut,2020,61.11,8.96,79.09,66.12,58.15,58.15,0.97,0.15,262.8,7876.0,Pengeluaran Per Kapita
Garut,2021,62.76,8.68,79.37,66.45,58.52,58.52,1.4,0.29,281.4,71.59,Usia Harapan Hidup
Garut,2021,62.76,8.68,79.37,66.45,58.52,58.52,1.4,0.29,281.4,12.03,Harapan Lama Sekolah
Garut,2021,62.76,8.68,79.37,66.45,58.52,58.52,1.4,0.29,281.4,7.53,Rata Rata Lama Sekolah
Garut,2021,62.76,8.68,79.37,66.45,58.52,58.52,1.4,0.29,281.4,7961.0,Pengeluaran Per Kapita
Garut,2022,68.84,7.6,79.77,67.41,59.85,59.85,1.81,0.45,276.7,71.85,Usia Harapan Hidup
Garut,2022,68.84,7.6,79.77,67.41,59.85,59.85,1.81,0.45,276.7,12.15,Harapan Lama Sekolah
Garut,2022,68.84,7.6,79.77,67.41,59.85,59.85,1.81,0.45,276.7,7.83,Rata Rata Lama Sekolah
Garut,2022,68.84,7.6,79.77,67.41,59.85,59.85,1.81,0.45,276.7,8227.0,Pengeluaran Per Kapita
Garut,2023,70.1,7.33,0.0,0.0,0.0,0.0,1.17,0.23,260.5,72.07,Usia Harapan Hidup
Garut,2023,70.1,7.33,0.0,0.0,0.0,0.0,1.17,0.23,260.5,12.16,Harapan Lama Sekolah
Garut,2023,70.1,7.33,0.0,0.0,0.0,0.0,1.17,0.23,260.5,7.84,Rata Rata Lama Sekolah
Garut,2023,70.1,7.33,0.0,0.0,0.0,0.0,1.17,0.23,260.5,8685.0,Pengeluaran Per Kapita
Indramayu,2017,0.0,0.0,78.25,65.58,53.82,53.82,2.34,0.66,233.4,70.86,Usia Harapan Hidup
Indramayu,2017,0.0,0.0,78.25,65.58,53.82,53.82,2.34,0.66,233.4,12.21,Harapan Lama Sekolah
Indramayu,2017,0.0,0.0,78.25,65.58,53.82,53.82,2.34,0.66,233.4,5.97,Rata Rata Lama Sekolah
Indramayu,2017,0.0,0.0,78.25,65.58,53.82,53.82,2.34,0.66,233.4,9014.0,Pengeluaran Per Kapita
Indramayu,2018,64.88,8.46,78.63,66.36,53.88,53.88,2.23,0.6,204.2,71.11,Usia Harapan Hidup
Indramayu,2018,64.88,8.46,78.63,66.36,53.88,53.88,2.23,0.6,204.2,12.22,Harapan Lama Sekolah
Indramayu,2018,64.88,8.46,78.63,66.36,53.88,53.88,2.23,0.6,204.2,5.98,Rata Rata Lama Sekolah
Indramayu,2018,64.88,8.46,78.63,66.36,53.88,53.88,2.23,0.6,204.2,9633.0,Pengeluaran Per Kapita
Indramayu,2019,67.69,8.35,79.03,66.97,53.97,53.97,1.66,0.4,191.9,71.37,Usia Harapan Hidup
Indramayu,2019,67.69,8.35,79.03,66.97,53.97,53.97,1.66,0.4,191.9,12.24,Harapan Lama Sekolah
Indramayu,2019,67.69,8.35,79.03,66.97,53.97,53.97,1.66,0.4,191.9,5.99,Rata Rata Lama Sekolah
Indramayu,2019,67.69,8.35,79.03,66.97,53.97,53.97,1.66,0.4,191.9,10090.0,Pengeluaran Per Kapita
Indramayu,2020,69.53,9.21,79.43,67.29,55.03,55.03,2.18,0.56,220.3,71.63,Usia Harapan Hidup
Indramayu,2020,69.53,9.21,79.43,67.29,55.03,55.03,2.18,0.56,220.3,12.25,Harapan Lama Sekolah
Indramayu,2020,69.53,9.21,79.43,67.29,55.03,55.03,2.18,0.56,220.3,6.3,Rata Rata Lama Sekolah
Indramayu,2020,69.53,9.21,79.43,67.29,55.03,55.03,2.18,0.56,220.3,9859.0,Pengeluaran Per Kapita
Indramayu,2021,69.86,8.3,79.75,67.64,55.79,55.79,2.46,0.66,228.6,71.84,Usia Harapan Hidup
Indramayu,2021,69.86,8.3,79.75,67.64,55.79,55.79,2.46,0.66,228.6,12.26,Harapan Lama Sekolah
Indramayu,2021,69.86,8.3,79.75,67.64,55.79,55.79,2.46,0.66,228.6,6.52,Rata Rata Lama Sekolah
Indramayu,2021,69.86,8.3,79.75,67.64,55.79,55.79,2.46,0.66,228.6,9810.0,Pengeluaran Per Kapita
Indramayu,2022,69.08,6.49,80.23,68.55,56.85,56.85,1.72,0.48,225.0,72.15,Usia Harapan Hidup
Indramayu,2022,69.08,6.49,80.23,68.55,56.85,56.85,1.72,0.48,225.0,12.27,Harapan Lama Sekolah
Indramayu,2022,69.08,6.49,80.23,68.55,56.85,56.85,1.72,0.48,225.0,6.83,Rata Rata Lama Sekolah
Indramayu,2022,69.08,6.49,80.23,68.55,56.85,56.85,1.72,0.48,225.0,10166.0,Pengeluaran Per Kapita
Indramayu,2023,63.88,6.46,0.0,0.0,0.0,0.0,2.2,0.62,214.7,72.46,Usia Harapan Hidup
Indramayu,2023,63.88,6.46,0.0,0.0,0.0,0.0,2.2,0.62,214.7,12.29,Harapan Lama Sekolah
Indramayu,2023,63.88,6.46,0.0,0.0,0.0,0.0,2.2,0.62,214.7,6.94,Rata Rata Lama Sekolah
Indramayu,2023,63.88,6.46,0.0,0.0,0.0,0.0,2.2,0.62,214.7,10580.0,Pengeluaran Per Kapita
Karawang,2017,0.0,0.0,79.45,69.17,57.69,57.69,1.54,0.32,236.8,71.64,Usia Harapan Hidup
Karawang,2017,0.0,0.0,79.45,69.17,57.69,57.69,1.54,0.32,236.8,11.96,Harapan Lama Sekolah
Karawang,2017,0.0,0.0,79.45,69.17,57.69,57.69,1.54,0.32,236.8,7.34,Rata Rata Lama Sekolah
Karawang,2017,0.0,0.0,79.45,69.17,57.69,57.69,1.54,0.32,236.8,10703.0,Pengeluaran Per Kapita
Karawang,2018,64.77,9.12,79.71,69.89,58.03,58.03,1.21,0.3,188.0,71.81,Usia Harapan Hidup
Karawang,2018,64.77,9.12,79.71,69.89,58.03,58.03,1.21,0.3,188.0,12.07,Harapan Lama Sekolah
Karawang,2018,64.77,9.12,79.71,69.89,58.03,58.03,1.21,0.3,188.0,7.35,Rata Rata Lama Sekolah
Karawang,2018,64.77,9.12,79.71,69.89,58.03,58.03,1.21,0.3,188.0,11277.0,Pengeluaran Per Kapita
Karawang,2019,63.57,9.68,79.97,70.86,59.06,59.06,1.06,0.24,173.7,71.98,Usia Harapan Hidup
Karawang,2019,63.57,9.68,79.97,70.86,59.06,59.06,1.06,0.24,173.7,12.08,Harapan Lama Sekolah
Karawang,2019,63.57,9.68,79.97,70.86,59.06,59.06,1.06,0.24,173.7,7.65,Rata Rata Lama Sekolah
Karawang,2019,63.57,9.68,79.97,70.86,59.06,59.06,1.06,0.24,173.7,11856.0,Pengeluaran Per Kapita
Karawang,2020,64.9,11.52,80.23,70.66,59.48,59.48,1.28,0.25,195.4,72.15,Usia Harapan Hidup
Karawang,2020,64.9,11.52,80.23,70.66,59.48,59.48,1.28,0.25,195.4,12.09,Harapan Lama Sekolah
Karawang,2020,64.9,11.52,80.23,70.66,59.48,59.48,1.28,0.25,195.4,7.77,Rata Rata Lama Sekolah
Karawang,2020,64.9,11.52,80.23,70.66,59.48,59.48,1.28,0.25,195.4,11315.0,Pengeluaran Per Kapita
Karawang,2021,64.19,11.83,80.51,70.94,59.54,59.54,1.27,0.29,210.8,72.33,Usia Harapan Hidup
Karawang,2021,64.19,11.83,80.51,70.94,59.54,59.54,1.27,0.29,210.8,12.1,Harapan Lama Sekolah
Karawang,2021,64.19,11.83,80.51,70.94,59.54,59.54,1.27,0.29,210.8,7.78,Rata Rata Lama Sekolah
Karawang,2021,64.19,11.83,80.51,70.94,59.54,59.54,1.27,0.29,210.8,11522.0,Pengeluaran Per Kapita
Karawang,2022,65.51,9.87,80.95,71.74,60.39,60.39,1.58,0.41,199.9,72.62,Usia Harapan Hidup
Karawang,2022,65.51,9.87,80.95,71.74,60.39,60.39,1.58,0.41,199.9,12.19,Harapan Lama Sekolah
Karawang,2022,65.51,9.87,80.95,71.74,60.39,60.39,1.58,0.41,199.9,7.96,Rata Rata Lama Sekolah
Karawang,2022,65.51,9.87,80.95,71.74,60.39,60.39,1.58,0.41,199.9,11927.0,Pengeluaran Per Kapita
Karawang,2023,63.4,8.95,0.0,0.0,0.0,0.0,1.06,0.22,187.2,72.9,Usia Harapan Hidup
Karawang,2023,63.4,8.95,0.0,0.0,0.0,0.0,1.06,0.22,187.2,12.2,Harapan Lama Sekolah
Karawang,2023,63.4,8.95,0.0,0.0,0.0,0.0,1.06,0.22,187.2,8.04,Rata Rata Lama Sekolah
Karawang,2023,63.4,8.95,0.0,0.0,0.0,0.0,1.06,0.22,187.2,12392.0,Pengeluaran Per Kapita
Kota Bandung,2017,0.0,0.0,82.86,80.31,73.91,73.91,0.68,0.18,104.0,73.86,Usia Harapan Hidup
Kota Bandung,2017,0.0,0.0,82.86,80.31,73.91,73.91,0.68,0.18,104.0,13.9,Harapan Lama Sekolah
Kota Bandung,2017,0.0,0.0,82.86,80.31,73.91,73.91,0.68,0.18,104.0,10.59,Rata Rata Lama Sekolah
Kota Bandung,2017,0.0,0.0,82.86,80.31,73.91,73.91,0.68,0.18,104.0,16033.0,Pengeluaran Per Kapita
Kota Bandung,2018,61.86,8.05,83.08,81.06,74.82,74.82,0.48,0.11,89.4,74.0,Usia Harapan Hidup
Kota Bandung,2018,61.86,8.05,83.08,81.06,74.82,74.82,0.48,0.11,89.4,14.18,Harapan Lama Sekolah
Kota Bandung,2018,61.86,8.05,83.08,81.06,74.82,74.82,0.48,0.11,89.4,10.63,Rata Rata Lama Sekolah
Kota Bandung,2018,61.86,8.05,83.08,81.06,74.82,74.82,0.48,0.11,89.4,16630.0,Pengeluaran Per Kapita
Kota Bandung,2019,65.9,8.18,83.29,81.62,75.22,75.22,0.53,0.14,84.7,74.14,Usia Harapan Hidup
Kota Bandung,2019,65.9,8.18,83.29,81.62,75.22,75.22,0.53,0.14,84.7,14.19,Harapan Lama Sekolah
Kota Bandung,2019,65.9,8.18,83.29,81.62,75.22,75.22,0.53,0.14,84.7,10.74,Rata Rata Lama Sekolah
Kota Bandung,2019,65.9,8.18,83.29,81.62,75.22,75.22,0.53,0.14,84.7,17254.0,Pengeluaran Per Kapita
Kota Bandung,2020,64.71,11.19,83.51,81.51,75.28,75.28,0.61,0.13,100.0,74.28,Usia Harapan Hidup
Kota Bandung,2020,64.71,11.19,83.51,81.51,75.28,75.28,0.61,0.13,100.0,14.2,Harapan Lama Sekolah
Kota Bandung,2020,64.71,11.19,83.51,81.51,75.28,75.28,0.61,0.13,100.0,10.75,Rata Rata Lama Sekolah
Kota Bandung,2020,64.71,11.19,83.51,81.51,75.28,75.28,0.61,0.13,100.0,16887.0,Pengeluaran Per Kapita
Kota Bandung,2021,65.31,11.46,83.78,81.96,76.11,76.11,0.78,0.24,112.5,74.46,Usia Harapan Hidup
Kota Bandung,2021,65.31,11.46,83.78,81.96,76.11,76.11,0.78,0.24,112.5,14.21,Harapan Lama Sekolah
Kota Bandung,2021,65.31,11.46,83.78,81.96,76.11,76.11,0.78,0.24,112.5,10.99,Rata Rata Lama Sekolah
Kota Bandung,2021,65.31,11.46,83.78,81.96,76.11,76.11,0.78,0.24,112.5,16996.0,Pengeluaran Per Kapita
Kota Bandung,2022,69.42,9.55,84.23,82.5,76.19,76.19,0.7,0.17,109.8,74.75,Usia Harapan Hidup
Kota Bandung,2022,69.42,9.55,84.23,82.5,76.19,76.19,0.7,0.17,109.8,14.23,Harapan Lama Sekolah
Kota Bandung,2022,69.42,9.55,84.23,82.5,76.19,76.19,0.7,0.17,109.8,11.0,Rata Rata Lama Sekolah
Kota Bandung,2022,69.42,9.55,84.23,82.5,76.19,76.19,0.7,0.17,109.8,17639.0,Pengeluaran Per Kapita
Kota Bandung,2023,66.97,8.83,0.0,0.0,0.0,0.0,0.59,0.15,102.8,75.04,Usia Harapan Hidup
Kota Bandung,2023,66.97,8.83,0.0,0.0,0.0,0.0,0.59,0.15,102.8,14.24,Harapan Lama Sekolah
Kota Bandung,2023,66.97,8.83,0.0,0.0,0.0,0.0,0.59,0.15,102.8,11.06,Rata Rata Lama Sekolah
Kota Bandung,2023,66.97,8.83,0.0,0.0,0.0,0.0,0.59,0.15,102.8,18236.0,Pengeluaran Per Kapita
Kota Banjar,2017,0.0,0.0,77.52,70.79,65.27,65.27,0.54,0.08,12.9,70.39,Usia Harapan Hidup
Kota Banjar,2017,0.0,0.0,77.52,70.79,65.27,65.27,0.54,0.08,12.9,13.19,Harapan Lama Sekolah
Kota Banjar,2017,0.0,0.0,77.52,70.79,65.27,65.27,0.54,0.08,12.9,8.59,Rata Rata Lama Sekolah
Kota Banjar,2017,0.0,0.0,77.52,70.79,65.27,65.27,0.54,0.08,12.9,9987.0,Pengeluaran Per Kapita
Kota Banjar,2018,64.93,5.95,77.83,71.25,65.33,65.33,0.79,0.19,10.4,70.59,Usia Harapan Hidup
Kota Banjar,2018,64.93,5.95,77.83,71.25,65.33,65.33,0.79,0.19,10.4,13.2,Harapan Lama Sekolah
Kota Banjar,2018,64.93,5.95,77.83,71.25,65.33,65.33,0.79,0.19,10.4,8.6,Rata Rata Lama Sekolah
Kota Banjar,2018,64.93,5.95,77.83,71.25,65.33,65.33,0.79,0.19,10.4,10329.0,Pengeluaran Per Kapita
Kota Banjar,2019,67.59,6.16,78.14,71.75,65.46,65.46,0.57,0.1,10.1,70.79,Usia Harapan Hidup
Kota Banjar,2019,67.59,6.16,78.14,71.75,65.46,65.46,0.57,0.1,10.1,13.22,Harapan Lama Sekolah
Kota Banjar,2019,67.59,6.16,78.14,71.75,65.46,65.46,0.57,0.1,10.1,8.62,Rata Rata Lama Sekolah
Kota Banjar,2019,67.59,6.16,78.14,71.75,65.46,65.46,0.57,0.1,10.1,10705.0,Pengeluaran Per Kapita
Kota Banjar,2020,67.35,6.73,78.45,71.7,65.52,65.52,0.7,0.12,11.2,70.99,Usia Harapan Hidup
Kota Banjar,2020,67.35,6.73,78.45,71.7,65.52,65.52,0.7,0.12,11.2,13.23,Harapan Lama Sekolah
Kota Banjar,2020,67.35,6.73,78.45,71.7,65.52,65.52,0.7,0.12,11.2,8.63,Rata Rata Lama Sekolah
Kota Banjar,2020,67.35,6.73,78.45,71.7,65.52,65.52,0.7,0.12,11.2,10535.0,Pengeluaran Per Kapita
Kota Banjar,2021,64.07,6.09,78.75,71.92,66.01,66.01,1.19,0.28,13.4,71.19,Usia Harapan Hidup
Kota Banjar,2021,64.07,6.09,78.75,71.92,66.01,66.01,1.19,0.28,13.4,13.24,Harapan Lama Sekolah
Kota Banjar,2021,64.07,6.09,78.75,71.92,66.01,66.01,1.19,0.28,13.4,8.77,Rata Rata Lama Sekolah
Kota Banjar,2021,64.07,6.09,78.75,71.92,66.01,66.01,1.19,0.28,13.4,10476.0,Pengeluaran Per Kapita
Kota Banjar,2022,63.76,5.53,79.22,72.55,66.07,66.07,1.02,0.28,12.7,71.49,Usia Harapan Hidup
Kota Banjar,2022,63.76,5.53,79.22,72.55,66.07,66.07,1.02,0.28,12.7,13.25,Harapan Lama Sekolah
Kota Banjar,2022,63.76,5.53,79.22,72.55,66.07,66.07,1.02,0.28,12.7,8.78,Rata Rata Lama Sekolah
Kota Banjar,2022,63.76,5.53,79.22,72.55,66.07,66.07,1.02,0.28,12.7,10967.0,Pengeluaran Per Kapita
Kota Banjar,2023,67.44,5.43,0.0,0.0,0.0,0.0,0.68,0.12,11.7,71.8,Usia Harapan Hidup
Kota Banjar,2023,67.44,5.43,0.0,0.0,0.0,0.0,0.68,0.12,11.7,13.27,Harapan Lama Sekolah
Kota Banjar,2023,67.44,5.43,0.0,0.0,0.0,0.0,0.68,0.12,11.7,8.79,Rata Rata Lama Sekolah
Kota Banjar,2023,67.44,5.43,0.0,0.0,0.0,0.0,0.68,0.12,11.7,11356.0,Pengeluaran Per Kapita
Kota Bekasi,2017,0.0,0.0,84.05,80.3,73.96,73.96,0.82,0.21,136.0,74.63,Usia Harapan Hidup
Kota Bekasi,2017,0.0,0.0,84.05,80.3,73.96,73.96,0.82,0.21,136.0,13.51,Harapan Lama Sekolah
Kota Bekasi,2017,0.0,0.0,84.05,80.3,73.96,73.96,0.82,0.21,136.0,10.93,Rata Rata Lama Sekolah
Kota Bekasi,2017,0.0,0.0,84.05,80.3,73.96,73.96,0.82,0.21,136.0,15378.0,Pengeluaran Per Kapita
Kota Bekasi,2018,65.23,9.14,84.25,81.04,75.19,75.19,0.72,0.18,119.8,74.76,Usia Harapan Hidup
Kota Bekasi,2018,65.23,9.14,84.25,81.04,75.19,75.19,0.72,0.18,119.8,13.76,Harapan Lama Sekolah
Kota Bekasi,2018,65.23,9.14,84.25,81.04,75.19,75.19,0.72,0.18,119.8,11.09,Rata Rata Lama Sekolah
Kota Bekasi,2018,65.23,9.14,84.25,81.04,75.19,75.19,0.72,0.18,119.8,15755.0,Pengeluaran Per Kapita
Kota Bekasi,2019,65.66,8.3,84.45,81.59,75.86,75.86,0.47,0.1,113.7,74.89,Usia Harapan Hidup
Kota Bekasi,2019,65.66,8.3,84.45,81.59,75.86,75.86,0.47,0.1,113.7,13.99,Harapan Lama Sekolah
Kota Bekasi,2019,65.66,8.3,84.45,81.59,75.86,75.86,0.47,0.1,113.7,11.1,Rata Rata Lama Sekolah
Kota Bekasi,2019,65.66,8.3,84.45,81.59,75.86,75.86,0.47,0.1,113.7,16157.0,Pengeluaran Per Kapita
Kota Bekasi,2020,64.74,10.68,84.63,81.5,76.09,76.09,0.6,0.15,134.0,75.01,Usia Harapan Hidup
Kota Bekasi,2020,64.74,10.68,84.63,81.5,76.09,76.09,0.6,0.15,134.0,14.0,Harapan Lama Sekolah
Kota Bekasi,2020,64.74,10.68,84.63,81.5,76.09,76.09,0.6,0.15,134.0,11.16,Rata Rata Lama Sekolah
Kota Bekasi,2020,64.74,10.68,84.63,81.5,76.09,76.09,0.6,0.15,134.0,15776.0,Pengeluaran Per Kapita
Kota Bekasi,2021,64.76,10.88,84.91,81.95,76.87,76.87,0.66,0.16,144.1,75.19,Usia Harapan Hidup
Kota Bekasi,2021,64.76,10.88,84.91,81.95,76.87,76.87,0.66,0.16,144.1,14.1,Harapan Lama Sekolah
Kota Bekasi,2021,64.76,10.88,84.91,81.95,76.87,76.87,0.66,0.16,144.1,11.31,Rata Rata Lama Sekolah
Kota Bekasi,2021,64.76,10.88,84.91,81.95,76.87,76.87,0.66,0.16,144.1,15903.0,Pengeluaran Per Kapita
Kota Bekasi,2022,65.33,8.81,85.35,82.46,77.33,77.33,0.96,0.27,137.4,75.48,Usia Harapan Hidup
Kota Bekasi,2022,65.33,8.81,85.35,82.46,77.33,77.33,0.96,0.27,137.4,14.11,Harapan Lama Sekolah
Kota Bekasi,2022,65.33,8.81,85.35,82.46,77.33,77.33,0.96,0.27,137.4,11.44,Rata Rata Lama Sekolah
Kota Bekasi,2022,65.33,8.81,85.35,82.46,77.33,77.33,0.96,0.27,137.4,16239.0,Pengeluaran Per Kapita
Kota Bekasi,2023,64.65,7.9,0.0,0.0,0.0,0.0,0.63,0.13,129.4,75.79,Usia Harapan Hidup
Kota Bekasi,2023,64.65,7.9,0.0,0.0,0.0,0.0,0.63,0.13,129.4,14.12,Harapan Lama Sekolah
Kota Bekasi,2023,64.65,7.9,0.0,0.0,0.0,0.0,0.63,0.13,129.4,11.66,Rata Rata Lama Sekolah
Kota Bekasi,2023,64.65,7.9,0.0,0.0,0.0,0.0,0.63,0.13,129.4,16479.0,Pengeluaran Per Kapita
Kota Bogor,2017,0.0,0.0,81.55,75.16,71.44,71.44,0.99,0.17,76.5,73.01,Usia Harapan Hidup
Kota Bogor,2017,0.0,0.0,81.55,75.16,71.44,71.44,0.99,0.17,76.5,13.37,Harapan Lama Sekolah
Kota Bogor,2017,0.0,0.0,81.55,75.16,71.44,71.44,0.99,0.17,76.5,10.29,Rata Rata Lama Sekolah
Kota Bogor,2017,0.0,0.0,81.55,75.16,71.44,71.44,0.99,0.17,76.5,10940.0,Pengeluaran Per Kapita
Kota Bogor,2018,63.11,9.74,81.86,75.66,71.5,71.5,0.77,0.17,64.9,73.21,Usia Harapan Hidup
Kota Bogor,2018,63.11,9.74,81.86,75.66,71.5,71.5,0.77,0.17,64.9,13.38,Harapan Lama Sekolah
Kota Bogor,2018,63.11,9.74,81.86,75.66,71.5,71.5,0.77,0.17,64.9,10.3,Rata Rata Lama Sekolah
Kota Bogor,2018,63.11,9.74,81.86,75.66,71.5,71.5,0.77,0.17,64.9,11348.0,Pengeluaran Per Kapita
Kota Bogor,2019,63.68,9.16,82.17,76.23,71.62,71.62,0.72,0.18,64.0,73.41,Usia Harapan Hidup
Kota Bogor,2019,63.68,9.16,82.17,76.23,71.62,71.62,0.72,0.18,64.0,13.4,Harapan Lama Sekolah
Kota Bogor,2019,63.68,9.16,82.17,76.23,71.62,71.62,0.72,0.18,64.0,10.32,Rata Rata Lama Sekolah
Kota Bogor,2019,63.68,9.16,82.17,76.23,71.62,71.62,0.72,0.18,64.0,11825.0,Pengeluaran Per Kapita
Kota Bogor,2020,60.81,12.68,82.48,76.11,71.68,71.68,1.08,0.26,75.0,73.61,Usia Harapan Hidup
Kota Bogor,2020,60.81,12.68,82.48,76.11,71.68,71.68,1.08,0.26,75.0,13.41,Harapan Lama Sekolah
Kota Bogor,2020,60.81,12.68,82.48,76.11,71.68,71.68,1.08,0.26,75.0,10.33,Rata Rata Lama Sekolah
